Customer Name,Vehicle Identification Number,MODEL,COMMERCIAL MODEL,Internal Vehicle Number,WHEELS AND TIRES,Primary Status,Primary Status,Date of Primary Status,Time of Primary Status,Location,Vehicle Search Area,Plant,Storage Location,Veh. Srch Area,TIRE OPTIONS,Char. 5,Characteristic 6,Vehicle Usage
"ELLENS EQUIPMENT, INC.",NBM438513,,L218,0011698426,,Delivered to Destination,ZT56,1/11/13,8:20:22 AM,MCBAIN,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (64 OTW),,,Retail
"H. & M. EQUIPMENT CO., INC.",NCM446105,,L225,0011700433,,Delivered to Destination,ZT56,1/22/13,5:17:37 PM,AMSTERDAM,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"FUNKE, INC.",NDM456508,,L220,0011933666,,Delivered to Destination,ZT56,2/27/13,4:50:56 PM,EDGEWOOD,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"Truck & Equipment Sales & Services,",NBM432058,,SR220,0011730372,,Export Vessel Sailed,ZT72,2/4/13,9:48:12 AM,IN TRANSIT,NOLA CASE,L183,U030,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
MAQUINARIAS S.A.,NCM457083,,SR220,0011730373,,Export Vessel Sailed,ZT72,4/9/13,9:01:35 AM,IN TRANSIT,NOLA CASE,L183,U030,NOLA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
"FORRESTER FARM EQUIPMENT, LTD.",NBM438614,,L218,0011736385,,Delivered to Destination,ZT56,2/1/13,11:18:18 AM,CHAMBERSBURG,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (64 OTW),,,Retail
"PERMIAN TRACTOR SALES, INC.",NBM442332,,SR250,0011731078,,Delivered to Destination,ZT56,1/30/13,8:47:33 AM,ODESSA,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
HYLAND MOTOR COMPANY,NBM438660,,L218,0011732577,,Delivered to Destination,ZT56,1/7/13,11:18:24 AM,SPRING VALLEY,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Premium (64 OTW),,,Retail
KOBELCO-CNH AUSTRALIA PTY LTD,NCM445938,,L225-NA,0011734803,,Export Vessel Sailed,ZT72,3/25/13,9:02:53 AM,IN TRANSIT,GUAM NH L,WI01,WI01,GUAM NH AGCE LOC,12x16.5 Heavy Duty  (70 OTW),,,Dealer Inventory
ROSEBUD TRACTOR & EQUIPMENT COMPANY,NBM447304,,L218,0011737282,,Delivered to Destination,ZT56,1/17/13,9:18:02 AM,ROSEBUD,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"BANCROFT IMPLEMENT, INC.",NCM444534,,SV250,0011733001,,Delivered to Destination,ZT56,,12:00:00 AM,BANCROFT,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Premium (70 OTW),,,Retail
"NEW HOLLAND OF BELGRADE, INC.",NCM449651,,L230,0011739575,,Delivered to Destination,ZT56,1/17/13,5:18:02 PM,BELGRADE,NA NH,WI01,WI01,NA NH AGCE,14x17.5 Premium (76 OTW),,,Retail
"TRIEBOLD IMPLEMENT, INC.",NCM445250,,SV300,0011735519,,Delivered to Destination,ZT56,1/23/13,8:17:44 AM,WHITEWATER,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"G, J & L INC.",NCM444583,,SV250,0011735640,,Delivered to Destination,ZT56,3/15/13,8:17:49 AM,Conley,NA CASE,WI01,WI01,NA CASE / CASE IH,12x16.5 Heavy Duty  (70 OTW),,,Retail
"ELLENS EQUIPMENT, INC.",NCM447761,,L218,0011730667,,Delivered to Destination,ZT56,3/20/13,11:17:28 AM,MCBAIN,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"ALTMAN TRACTOR & EQUIPMENT COMPANY,",NCM446030,,L225,0011736785,,Delivered to Destination,ZT56,1/9/13,9:18:08 AM,FLORENCE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"O'BRIEN COUNTY IMPLEMENT, INC.",NCM447456,,L218,0011735081,,Delivered to Destination,ZT56,1/9/13,11:18:29 AM,SHELDON,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
TITAN MACHINERY INC.,NCM446113,,L225,0011744548,,Delivered to Destination,ZT56,3/19/13,12:19:09 PM,ROSEMOUNT,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Heavy Duty  (70 OTW),,,Retail
"O'BRIEN COUNTY IMPLEMENT, INC.",NBM438602,,L218,0011750757,,Delivered to Destination,ZT56,1/14/13,2:18:19 PM,SHELDON,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
CNH INDUSTRIAL (RUSSIA) COMMERCIAL,NBM439690,,L215-NA,0011760603,,Export On the Vessel,ZT71,3/14/13,11:57:57 AM,IN TRANSIT,RUSSIA NHL,LUSO,FI01,RUSSIA NH AGCE LOC,10x16.5 Heavy Duty (59 OTW),,,Dealer Inventory
"BOOTH MACHINERY SALES, INC.",NCM447455,,L218,0011767592,,Delivered to Destination,ZT56,2/25/13,1:18:19 PM,CRAWFORDSVILLE,NA NH,WI01,WI01,NA NH AGCE,10x16.5 Heavy Duty (64 OTW),,,Retail
"WHITE'S FARM SUPPLY, INC.",NBM428416,,SR175,0011772438,,Delivered to Destination,ZT56,1/24/13,9:19:10 AM,CANASTOTA,NA CASE,WI01,WI01,NA CASE / CASE IH,10x16.5 Heavy Duty (64 OTW),,,Retail
E. BOURASSA & SONS PARTNERSHIP,NCM452197,,L223,0011773061,,Delivered to Destination,ZT56,2/13/13,11:18:49 AM,RADVILLE,NA NH,WI01,WI01,NA NH AGCE,12x16.5 Premium (70 OTW),,,Retail
